

Fitting result with momentum region: 0.3 - 1.0GeV/c

  EXT PARAMETER                APPROXIMATE        STEP         FIRST   
  NO.   NAME        VALUE          ERROR          SIZE      DERIVATIVE 
   1      P1       0.18370E-02   0.62845E-04   0.46474E-05   -6.0742    
   2      P2       0.10735       0.94872E-03   0.27157E-03  -0.57069    
   3      P3      -0.92542       0.50589E-02   0.23411E-02  -0.15334    
   4      P4        3.7183       0.21120E-01   0.94066E-02  -0.50719E-01
   5      P5       -9.1010       0.78785E-01   0.23024E-01  -0.16551E-01
   6      P6        10.048       0.21642       0.25419E-01  -0.53076E-02



Fitting result with momentum region: 0.3 - 100.5GeV/c

  EXT PARAMETER                APPROXIMATE        STEP         FIRST   
  NO.   NAME        VALUE          ERROR          SIZE      DERIVATIVE 
   1      P1       0.25148E-02   0.62879E-04   0.63621E-05    13.657    
   2      P2       0.69577E-01   0.94890E-03   0.17602E-03   0.87563E-01
   3      P3      -0.25576       0.50587E-02   0.64702E-03    2.6678    
   4      P4       -1.3394       0.21123E-01   0.33884E-02  -0.83192    
   5      P5        7.9017       0.78786E-01   0.19990E-01   0.25873    
   6      P6       -10.895       0.21645      



Fitting result with momentum region: 0.5 - 1.0GeV/c

  EXT PARAMETER                APPROXIMATE        STEP         FIRST   
  NO.   NAME        VALUE          ERROR          SIZE      DERIVATIVE 
   1      P1       0.12115E-02   0.15702E-04   0.15324E-05    65.782    
   2      P2       0.72634E-01   0.23705E-03   0.91876E-04    15.806    
   3      P3      -0.60468       0.12645E-02   0.76487E-03    3.8368    
   4      P4        2.4920       0.52796E-02   0.31522E-02   0.96525    
   5      P5       -6.1261       0.19691E-01   0.77489E-02   0.25209    
   6      P6        6.3972       0.54083E-01   0.80919E-02   0.65718E-01


Fitting result with momentum region: 1.0 - 5.0GeV/c

  EXT PARAMETER                APPROXIMATE        STEP         FIRST   
  NO.   NAME        VALUE          ERROR          SIZE      DERIVATIVE 
   1      P1       0.50862E-03   0.94233E-05   0.12867E-05    60.786    
   2      P2       0.30568E-01   0.14225E-03   0.77331E-04    14.776    
   3      P3      -0.23605       0.75874E-03   0.59716E-03    2.9988    
   4      P4       0.98762       0.31678E-02   0.24985E-02   0.62007    
   5      P5       -2.4529       0.11817E-01   0.62055E-02   0.14120    
   6      P6        2.5330       0.32461E-01   0.64081E-02   0.31544E-01






Fitting result with momentum region: 1.0 - 10.0GeV/c

  EXT PARAMETER                APPROXIMATE        STEP         FIRST   
  NO.   NAME        VALUE          ERROR          SIZE      DERIVATIVE 
   1      P1       0.51432E-03   0.15696E-04   0.65057E-06   -140.13    
   2      P2       0.31284E-01   0.23696E-03   0.39572E-04   -18.734    
   3      P3      -0.24270       0.12645E-02   0.30699E-03   -2.7224    
   4      P4        1.0205       0.52803E-02   0.12908E-02  -0.35557    
   5      P5       -2.5390       0.19687E-01   0.32116E-02  -0.27878E-01
   6      P6        2.6207       0.54081E-01   0.33149E-02   0.72020E-02






Fitting result with momentum region: 1.0 - 100.0GeV/c

  EXT PARAMETER                APPROXIMATE        STEP         FIRST   
  NO.   NAME        VALUE          ERROR          SIZE      DERIVATIVE 
   1      P1       0.86804E-03   0.12568E-04   0.10980E-05    100.50    
   2      P2       0.52766E-01   0.18972E-03   0.66744E-04    18.176    
   3      P3      -0.41356       0.10118E-02   0.52311E-03    4.2434    
   4      P4        1.7402       0.42222E-02   0.22012E-02    1.0562    
   5      P5       -4.3343       0.15762E-01   0.54825E-02   0.27039    
   6      P6        4.4828       0.43290E-01   0.56703E-02   0.72688E-01


Fitting result with momentum region: 5.0 - 100.0GeV/c

  EXT PARAMETER                APPROXIMATE        STEP         FIRST   
  NO.   NAME        VALUE          ERROR          SIZE      DERIVATIVE 
   1      P1       0.37229E-03   0.49400E-05   0.94182E-06   -341.77    
   2      P2       0.69442E-02   0.12288E-03   0.17568E-04   -96.209    
   3      P3      -0.16933       0.11066E-02   0.42838E-03   -1.4377    
   4      P4       0.31326       0.83775E-02   0.79249E-03   -5.0383    
   5      P5        6.6281       0.56090E-01   0.16768E-01  -0.11536E-01
   6      P6       -26.467       0.27911       0.66956E-01  -0.82209E-01



Fitting result with momentum region: 5.0 - 10.0GeV/c

  EXT PARAMETER                APPROXIMATE        STEP         FIRST   
  NO.   NAME        VALUE          ERROR          SIZE      DERIVATIVE 
   1      P1       0.20262E-06   0.62738E-08   0.51258E-09   -888.94    
   2      P2       0.25285E-04   0.94760E-07   0.63967E-07    96.507    
   3      P3      -0.45309E-03   0.50583E-06   0.11462E-05    45.187    
   4      P4       0.28817E-02   0.21119E-05   0.72901E-05    5.1828    
   5      P5      -0.80264E-02   0.78781E-05   0.20305E-04   0.70605    
   6      P6       0.83156E-02   0.21640E-04   0.21037E-04  -0.12338    
