#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.001-0.002]
 0 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.001-0.002]
 1 10.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.001-0.002]
 2 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.001-0.002]
 3 10.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.001-0.002]
 4 5.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.001-0.002]
 5 3.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.001-0.002]
 6 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.001-0.002]
 7 6.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.001-0.002]
 8 3.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.001-0.002]
 9 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.001-0.002]
 10 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.001-0.002]
 11 10.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.001-0.002]
 12 8.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.001-0.002]
 13 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.001-0.002]
 14 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.001-0.002]
 15 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.002-0.002]
 16 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.002-0.002]
 17 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.002-0.002]
 18 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.002-0.002]
 19 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.002-0.002]
 20 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.002-0.002]
 21 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.002-0.002]
 22 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.002-0.002]
 23 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.002-0.002]
 24 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.002-0.002]
 25 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.002-0.002]
 26 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.002-0.002]
 27 0.000000 10000
